|text|score
0|a gushy episode of  m  a  s  h  only this time from an asian perspective|0.0
1|the storys pathetic and the gags are puerile|0.0
2|not only a comingofage story and cautionary parable  but also a perfectly rendered period piece|1.0
3|beyond a handful of mildly amusing lines    there just isnt much to laugh at|0.0
4|a complex psychological drama about a father who returns to his sons home after decades away|1.0
5|charming and witty  its also somewhat clumsy|1.0
6|the cameopacked  m  i2spoofing title sequence is the funniest 5 minutes to date in this spy comedy franchise    then mike myers shows up and ruins everything|0.0
7|this films relationship to actual tension is the same as what christmastree flocking in a spray can is to actual snow  a poor  if durable  imitation|0.0
8|the marquis de sade couldnt have been as dull a person as this film makes him out to be|0.0
9|i was trying to decide what annoyed me most about god is great    im not  and then i realized that i just didnt care|0.0
10|not a movie but a liveaction agitprop cartoon so shameless and coarse  its almost funny|0.0
11|a perfectly pleasant if slightly pokey comedy|1.0
12|allens been making piffle for a long while  and hollywood ending may be his way of saying that piffle is all that the airhead movie business deserves from him right now|0.0
13|feels like six different movies fighting each other for attention|0.0
14|twenty years later  e  t  is still a cinematic touchstone|1.0
15|i couldnt recommend this film more|1.0
16|for every cheesy scene  though  there is a really cool bit  the movies conception of a futureworld holographic librarian  orlando jones  who knows everything and answers all questions  is visually smart  cleverly written  and nicely realized|1.0
17|a lowrent retread of the alien pictures|0.0
18|amari has dressed up this little parable in a fairly irresistible package full of privileged moments and memorable performances|1.0
19|some actors have so much charisma that youd be happy to listen to them reading the phone book  hugh grant and sandra bullock are two such likeable actors|1.0
20|this stuck pig of a movie flails limply between bizarre comedy and pallid horror|0.0
21|darkly funny and frequently insightful|1.0
22|all three actresses are simply dazzling  particularly balk  whos finally been given a part worthy of her considerable talents|1.0
23|an often unfunny romp|0.0
24|i was feeling this movie until it veered off too far into the exxon zone  and left me behind at the station looking for a return ticket to realism|0.0
25|a gratingly unfunny groaner littered with zerodimensional  unlikable characters and hackneyed  threadbare comic setups|0.0
26|lanies professional success means she must be a failure at life  because shes driven by ambition and doesnt know how to have fun|0.0
27|lets hope  shall we   that the true story by which all the queens men is allegedly  inspired  was a lot funnier and more deftly enacted than whats been cobbled together onscreen|0.0
28|i didnt believe for a moment in these villains or their plot|0.0
29|last orders nurtures the multilayers of its characters  allowing us to remember that lifes ultimately a gamble and last orders are to be embraced  its affecting  amusing  sad and reflective|1.0
30|a polished and vastly entertaining caper film that puts the sting back into the con|1.0
31|its compelling mix of trial movie  escape movie and unexpected fable ensures the film never feels draggy|1.0
32|eventually  every idea in this film is flushed down the latrine of heroism|0.0
33|a weird and wonderful comedy|1.0
34|lazily directed by charles stone iii    from a leaden script by matthew cirulnick and novelist thulani davis|0.0
35|theres plenty to impress about e  t|1.0
36|elling  portrayed with quiet fastidiousness by per christian ellefsen  is a truly singular character  one whose frailties are only slightly magnified versions of the ones that vex nearly everyone|1.0
37|genuinely touching because its realistic about all kinds of love|1.0
38|family togetherness takes a back seat to interfamily rivalry and workplace ambition133  whole subplots have no explanation or even plot relevance|0.0
39|this cuddly sequel to the 1999 hit is a little more visually polished  a little funnier  and a little more madcap|1.0
40|hardly a film that comes along every day|1.0
41|plods along  minus the twisted humor and eyepopping visuals that have made miike    a cult hero|0.0
42|a poignant lyricism runs through balzac and the little chinese seamstress that transforms this story about love and culture into a cinematic poem|1.0
43|do not see this film|0.0
44|many a parent and their teen  or preteen  kid could bond while watching a walk to remember  so could young romantics out on a date|1.0
45|a work of intricate elegance  literary lyricism and profound common sense|1.0
46|the furious coherence that deniro brings to this part only underscores the fuzzy sentimentality of the movie itself  which feels  as it plods toward the end  less like a movie than like the filmed reading of a script in need of polishing|0.0
47|even those of a single digit age will be able to recognize that this story is too goofy    even for disney|0.0
48|in no way original  or even all that memorable  but as downtown saturday matinee brain candy  it doesnt disappoint|1.0
49|were it not for a sentimental resolution that explains way more about cal than does the movie or the character any good  freundlichs world traveler might have been one of the more daring and surprising american movies of the year|1.0
50|works because were never sure if ohlingers on the level or merely a dying  delusional man trying to get into the history books before he croaks|1.0
51|the film equivalent of a toy chest whose contents get scattered over the course of 80 minutes|0.0
52|craig bartlett and director tuck tucker should be commended for illustrating the merits of fighting hard for something that really matters|1.0
53|written  flatly  by david kendall and directed  barely  by theres something about mary cowriter ed decter|0.0
54|if the plot seems a bit on the skinny side  thats because panic room is interested in nothing more than sucking you inand making you sweat|1.0
55|katz uses archival footage  horrifying documents of lynchings  still photographs and charming old reeltoreel recordings of meeropol entertaining his children to create his song history  but most powerful of all is the song itself|1.0
56|this 90minute postmodern voyage was more diverting and thoughtprovoking than id expected it to be|1.0
57|jones has tackled a meaty subject and drawn engaging characters while peppering the pages with memorable zingers|1.0
58|a passable romantic comedy  in need of another couple of passes through the word processor|0.0
59|though mama takes a bit too long to find its rhythm and a thirdact plot development is somewhat melodramatic  its ribald humor and touching nostalgia are sure to please anyone in search of a jules and jim for the new millennium|1.0
60|madonna still cant act a lick|0.0
61|shows that jackie chan is getting older  and thats something i would rather live in denial about|0.0
62|in a summer overrun with movies dominated by cgi aliens and super heroes  it revigorates the mind to see a feature that concentrates on people  a project in which the script and characters hold sway|1.0
63|unpretentious  charming  quirky  original|1.0
64|a diverse and astonishingly articulate cast of palestinian and israeli children|1.0
65|ferraras best film in years|1.0
66|its a remarkably solid and subtly satirical tour de force|1.0
67|among the many pleasures are the lively intelligence of the artists and their perceptiveness about their own situations|1.0
68|may seriously impair your ability to ever again maintain a straight face while speaking to a highway patrolman|1.0
69|considering the harsh locations and demanding stunts  this must have been a difficult shoot  but the movie proves rough going for the audience as well|0.0
70|the usual movie rahrah  pleasantly and predictably delivered in lowkey style by director michael apted and writer tom stoppard|1.0
71|the film is faithful to what one presumes are the books twin premises  that we become who we are on the backs of our parents  but we have no idea who they were at our age  and that time is a fleeting and precious commodity no matter how old you are|1.0
72|sweet home alabama isnt going to win any academy awards  but this datenight diversion will definitely win some hearts|1.0
73|the weakest of the four harry potter books has been transformed into the stronger of the two films by the thinnest of margins|1.0
74|jones has delivered a solidly entertaining and moving family drama|1.0
75|its of the quality of a lesser harrison ford movie  six days  seven nights  maybe  or that dreadful sabrina remake|0.0
76|cool gadgets and creatures keep this fresh  not as good as the original  but what is|1.0
77|who needs love like this|0.0
78|director boris von sychowski instead opts for a routine slasher film that was probably more fun to make than it is to sit through|0.0
79|a movie that cant get sufficient distance from leroys delusions to escape their maudlin influence|0.0
80|great fun both for sports aficionados and for ordinary louts whose idea of exercise is climbing the steps of a stadiumseat megaplex|1.0
81|the movies messages are quite admirable  but the story is just too clichd and too often strains credulity|0.0
82|the filmmakers juggle and juxtapose three story lines but fail to come up with one cogent point  unless its that life stinks  especially for sensitive married women who really love other women|0.0
83|a big  loud  bangthedrum bore|0.0
84|the way the roundelay of partners functions  and the interplay within partnerships and among partnerships and the general air of gatorbashing are consistently delightful|1.0
85|begins with promise  but runs aground after being snared in its own tangled plot|1.0
86|that zhang would make such a strainingly cute film  with a blind orphan at its center  no less  indicates where his ambitions have wandered|0.0
87|the screenplay  cowritten by director imogen kimmel  lacks the wit necessary to fully exploit the comic elements of the premise  making the proceedings more bizarre than actually amusing|0.0
88|this is what imax was made for  strap on a pair of 3d goggles  shut out the real world  and take a vicarious voyage to the last frontier  space|1.0
89|everything about it from the bland songs to the colorful but flat drawings is completely serviceable and quickly forgettable|0.0
90|all in all  road to perdition is more in love with strangeness than excellence|0.0
